Company name,Booth,Website,Website link,Company info
A I ANALYTICAL PTE LTD,B2-G31,http://www.ai-analytical.com.sg,http://www.ai-analytical.com.sg,"We are qualified distributor for reputable manufacturers in Online Water Quality Analysers, Level / Flow Meter and Auto Water Samplers of brands including LAR, PI, Instran, Suntex, Pulsar PM, WaterSam, MultiSensor and Intech.

We are active in Waste Water Treatment, Drinking Water, Process Water, Swimming Pools with solutions for Alkalinity, Ammonia, BOD, COD, Conductivity, pH, Dissolved Oxygen, Residual Chlorine (Free or Total), Turbidity, TSS, UVT/UVA, Streaming Current, TOC, Ozone, Fluoride, Hardness, Phenol, Silica, Toxicity, Coagulation Control and VOC etc

Together with our Experience Service Teams, We ensure all our customers will fully benefit from our strong technical support after sales."
A.R.I.,L1-J10,http://-,http://-,"A.R.I.-Leading company, Provides expertise in the planning, development and implementation of advanced solutions for agriculture, irrigation, gardening, water supply, wastewater, industry systems  and desalination plants protection from transient pressures, entrapped air in pipelines and unmeasured non-revenue water.
These solutions are accomplished with the design, development and manufacture of valves and accessories for fluid piping systems as well as the resources required to execute an in-depth analysis of these systems for implementing proper air valve sizing and location.

We, while addressing the ever changing needs of the market place, pledges to uphold:
. High quality
. Service and training
. Innovation and development
. Long-lasting products with minimal maintenance"
A.W.S. CORPORATION SRL,-,http://www.awscorp.it,http://www.awscorp.it,"AWS Corporation provides a complete range of services, products and engineered solutions aimed at pollution control & mist elimination in several fields of industrial applications."
ABB PTE LTD,B2-N14,http://www.abb.com,http://www.abb.com,"ABB is a pioneering technology leader in electrification products, robotics and motion, industrial automation and power grids, serving customers in utilities, industry and transport & infrastructure globally. Continuing a history of innovation spanning more than 130 years, ABB today is writing the future of industrial digitalization with two clear value propositions: bringing electricity from any power plant to any plug and automating industries from natural resources to finished products. As title partner of Formula E, the fully electric international FIA motorsport class, ABB is pushing the boundaries of e-mobility. ABB operates in more than 100 countries with about 135,000 employees."
"ABC VALVE WUXI CO., LTD.",L1-Q24,http://www.abcvalve.com,http://www.abcvalve.com,"ABC valve (with the name from American Butterfly-valve Corporation) is a specialist for Automatic Butterfly valve Control. Our valve design and quality control system are from America and we have our own factory in China. Manufacturing systems and products are certified by ISO9001, BV Marine, PED CE, FDA, DVGW, WRAS, KTW, Fire Test Certification. 
With unique patent designs, special attention on users experience from design, ABC valves are widely well used in sugar industry, beverage industry, pharmaceutical, textile dyeing, heating and cooling, municipal, automobile industry, shipbuilding, electronics, nuclear power, thermal power, petrochemical, coal chemical industry, papermaking, metallurgy, air distribution, environmental"
ACCIONA AGUA,B2-G16,http://www.acciona-agua.com,http://www.acciona-agua.com,"Acciona Agua provides comprehensive solutions which contribute to sustainable development in the water sector. The projects executed by the Company since its creation contribute to treating, processing, reusing, desalinating and managing water for over 90 million people in more that 25 countries on five continents, always to the highest standards of quality, innovation and sustainability. Acciona Agua has placed its name on over 400 drinking water and wastewater treatment plants and over 75 desalination plant in the five continents. It also operates and maintains a full range of water treatment plants and provides end-to-end water services in over 180 cities."
ACE WATER PTE LTD,B2-D12,http://-,http://-,"Ace Water is Water Treatment company specialised in design and build of water and waste treatment plants for industries and municipalities. We offer complete solutions from initial conceptual design, planning to detailed design, procurement, construction , operation and maintenance.  we offer MF/UF/RO/SWRO/MBR packages  and key process equipment to our customers."
ACEVISION (BEIJING) EXHIBITION CO LTD,NA,http://www.acevision-expo.com,http://www.acevision-expo.com,"ACEVISION (BEIJING) EXHIBITION CO LTD is a company specializing in planning, organizing and hosting exhibitions and conferences at home and abroad. The core team of the company has rich international experience in exhibition 

We provide professional overseas exhibitions and conference services for customers in the fields of water treatment, environmental protection, industry, manufacturing. The professional quality and professionalism in the process of cooperation have won praise from all the parties and have a good reputation among the partners and the exhibition customers."
ADVANCING CANADIAN WASTEWATER ASSETS,B2-V30,http://www.ucalgary.ca/acwa,http://www.ucalgary.ca/acwa,"ACWA is a globally unique partnership between UCalgary and The City of Calgary designed to develop and test technologies to remove pharmaceuticals and personal care products from municipal wastewater. Scientific experts in multiple disciplines work with wastewater treatment plant operators to replicate environmental water problems within a 0.5 ML/day experimental wastewater treatment plant, which includes O3, H2O2, UF and RO modules that can treat secondary effluent and dose experimental research streams. State-of-the-art analytical equipment (ICP/GC/LC-MS) can quantify micro-pollutants to determine process efficiency and the development of diagnostic markers can quantify environmental response."
ADZAAN CONSULTING PTE LTD,B2-F32,http://www.adzaan.com.sg,http://www.adzaan.com.sg,"ADZAAN CONSULTING PTE. LTD. is an engineering consultancy specializing in Vibro-Acoustics, Fluid Dynamics and Environment, Health & Safety. It was established in 2010 as an expansion of our earlier entity, Adzaan Vibro-Acoustics, which was set up in 1996.

Our core values are : Excellence and Integrity. These values are captured in our mission to provide.....Solutions Engineered through Integrity.

We provide solutions across many industries. Some of our recent clients include PUB (backdrop design review), Ed.Zublin (vortex drop CFD study), Meinhardt MENA (scoping study), Technip FMC (FIV Study), Sanli (sump modelling, vibration analysis, surge analysis) and UGL (CFD studies)."
